zone_id,road,direction,latitude,longitude,distance_to_bridge_km,analysis_group,is_treatment_geographic,is_control_geographic,pre_rows,pre_speed_coverage,pre_median_volume,donor_not_excluded_road,donor_is_interstate,donor_distance_eligible,donor_speed_coverage_eligible,donor_volume_eligible,donor_not_treatment,donor_not_control,donor_candidate_eligible
94945,I-695,Inner Loop,39.41266,-76.61633,23.89664230225011,outside,False,False,2099.0,1.0,167.0,False,True,False,True,True,True,True,False
94946,I-695,Inner Loop,39.41266,-76.61633,23.89664230225011,outside,False,False,2099.0,1.0,942.0,False,True,False,True,True,True,True,False
94947,I-95,South,39.124156,-76.866309,30.54177401599194,outside,False,False,2096.0,1.0,1305.0,False,True,True,True,True,True,True,False
94948,I-95,South,39.124156,-76.866309,30.54177401599194,outside,False,False,2096.0,1.0,61.0,False,True,True,True,True,True,True,False
94951,I-95,North,39.259636,-76.673893,13.693427725159468,treatment,True,False,2098.0,1.0,232.0,False,True,False,True,True,False,True,False
94952,I-95,North,39.259636,-76.673893,13.693427725159468,treatment,True,False,2098.0,1.0,1096.0,False,True,False,True,True,False,True,False
94953,I-95,South,39.259636,-76.673893,13.693427725159468,treatment,True,False,2098.0,1.0,977.0,False,True,False,True,True,False,True,False
94954,I-95,South,39.259636,-76.673893,13.693427725159468,treatment,True,False,2098.0,1.0,117.0,False,True,False,True,True,False,True,False
94955,I-495,Outer Loop,39.01754,-77.11003,54.429262624866006,donor_candidate,False,False,2096.0,1.0,735.0,True,True,True,True,True,True,True,True
94956,I-495,Inner Loop,39.01754,-77.11003,54.429262624866006,donor_candidate,False,False,2096.0,1.0,609.0,True,True,True,True,True,True,True,True
94957,Unknown,Outer Loop,39.018713,-76.924915,40.1422503140146,outside,False,False,1814.0,1.0,129.0,True,False,True,True,True,True,True,False
94958,I-695,Outer Loop,39.414381,-76.59316,23.534181917187222,outside,False,False,239.0,1.0,1164.0,False,True,False,True,True,True,True,False
94959,I-695,Inner Loop,39.414381,-76.59316,23.534181917187222,outside,False,False,239.0,1.0,994.0,False,True,False,True,True,True,True,False
94960,I-95,North,38.99733,-76.89024,39.01838379772932,outside,False,False,2099.0,1.0,1180.0,False,True,True,True,True,True,True,False
94961,I-95,South,38.99733,-76.89024,39.01838379772932,outside,False,False,2099.0,1.0,1352.0,False,True,True,True,True,True,True,False
94962,I-695,Outer Loop,39.41847,-76.63478,25.041871978244668,outside,False,False,1936.0,0.9994834710743802,76.0,False,True,False,True,True,True,True,False
94963,I-95,Outer Loop,39.01746,-76.91199,39.27372050723504,outside,False,False,2068.0,1.0,1381.5,False,True,True,True,True,True,True,False
94964,I-95,Inner Loop,39.01746,-76.91199,39.27372050723504,outside,False,False,2068.0,1.0,1298.5,False,True,True,True,True,True,True,False
94996,I-495,Outer Loop,38.980978,-77.172792,61.03629351503783,donor_candidate,False,False,2092.0,1.0,1355.0,True,True,True,True,True,True,True,True
94997,MD-32,East,39.132709,-76.802494,25.02528724370985,outside,False,False,2099.0,1.0,516.0,True,False,False,True,True,True,True,False
94998,I-95,South,39.212181,-76.738437,18.031681432008646,outside,False,False,2097.0,1.0,1258.0,False,True,False,True,True,True,True,False
95002,I-695,East,39.37938,-76.520295,19.00535140337205,outside,False,False,223.0,1.0,855.0,False,True,False,True,True,True,True,False
95013,Unknown,North,39.01757,-76.92493,40.210580511902656,outside,False,False,1081.0,0.996299722479186,60.0,True,False,True,True,True,True,True,False
95016,I-95,North,39.172443,-76.798823,23.581797466623957,outside,False,False,2098.0,1.0,1042.0,False,True,False,True,True,True,True,False
95020,I-695,Outer Loop,39.417436,-76.62972,24.77952620387933,outside,False,False,2099.0,1.0,1178.0,False,True,False,True,True,True,True,False
95021,I-695,Inner Loop,39.417436,-76.62972,24.77952620387933,outside,False,False,2099.0,1.0,923.0,False,True,False,True,True,True,True,False
95028,I-95,South,39.32798,-76.52507,13.279229057957705,outside,False,False,2093.0,1.0,1041.0,False,True,False,True,True,True,True,False
95029,I-95,South,39.32798,-76.52507,13.279229057957705,outside,False,False,2093.0,1.0,129.0,False,True,False,True,True,True,True,False
95033,I-70,East,39.403486,-77.346916,73.61752425617094,donor_candidate,False,False,2099.0,1.0,436.0,True,True,True,True,True,True,True,True
95034,Unknown,South,39.017148,-77.016715,47.141687151925055,outside,False,False,841.0,0.995243757431629,177.0,True,False,True,True,True,True,True,False
95037,I-95,Inner Loop,38.811339,-76.963049,57.9349055142436,outside,False,False,2098.0,1.0,1057.0,False,True,True,True,True,True,True,False
95038,I-95,Outer Loop,38.811339,-76.963049,57.9349055142436,outside,False,False,2098.0,1.0,993.0,False,True,True,True,True,True,True,False
95039,I-895,South,39.2202,-76.71412,15.983420542368204,treatment,True,False,2043.0,1.0,165.0,False,True,False,True,True,False,True,False
95040,I-495,Outer Loop,39.021963,-76.938356,40.947992983483225,donor_candidate,False,False,2099.0,1.0,997.0,True,True,True,True,True,True,True,True
95042,I-95,North,38.823282,-76.884495,52.70632048772892,outside,False,False,2099.0,1.0,1055.0,False,True,True,True,True,True,True,False
95043,I-95,South,38.823282,-76.884495,52.70632048772892,outside,False,False,2099.0,1.0,1203.0,False,True,True,True,True,True,True,False
95044,MD-32,West,39.132709,-76.802494,25.02528724370985,outside,False,False,2099.0,1.0,555.0,True,False,False,True,True,True,True,False
95045,MD-187,South,39.016795,-77.119533,55.21722924837505,outside,False,False,1162.0,0.9612736660929432,4.0,True,False,True,True,False,True,True,False
95046,I-97,North,39.100863,-76.628667,14.733433744933274,outside,False,False,2099.0,1.0,604.0,True,True,False,True,True,True,True,False
95047,I-97,South,39.100863,-76.628667,14.733433744933274,outside,False,False,2099.0,1.0,750.0,True,True,False,True,True,True,True,False
95049,I-495,Outer Loop,39.01123,-77.06447,51.13255297645566,donor_candidate,False,False,2082.0,1.0,1478.5,True,True,True,True,True,True,True,True
95050,I-495,Inner Loop,39.01123,-77.06447,51.13255297645566,donor_candidate,False,False,2082.0,1.0,900.0,True,True,True,True,True,True,True,True
95054,Unknown,Inner Loop,38.94854,-76.859623,40.61647731446631,outside,False,False,2100.0,1.0,886.0,True,False,True,True,True,True,True,False
95055,Unknown,West,38.94854,-76.859623,40.61647731446631,outside,False,False,2100.0,1.0,32.0,True,False,True,True,True,True,True,False
95056,Unknown,North,39.014807,-77.015903,47.19808915826675,outside,False,False,2099.0,0.9156741305383516,144.0,True,False,True,True,True,True,True,False
95057,Unknown,Inner Loop,39.014807,-77.015903,47.19808915826675,outside,False,False,2099.0,1.0,108.0,True,False,True,True,True,True,True,False
95060,I-95,North,39.207876,-76.746452,18.718581197904328,outside,False,False,45.0,0.9777777777777777,885.0,False,True,False,True,True,True,True,False
95061,I-495,South,39.018133,-76.954867,42.39414504164078,outside,False,False,2098.0,0.0,0.0,True,True,True,False,False,True,True,False
95062,I-495,Outer Loop,38.818207,-76.921162,55.05656925292295,donor_candidate,False,False,2098.0,1.0,98.0,True,True,True,True,True,True,True,True
95073,I-95,South,39.058691,-76.926112,38.07671925091821,outside,False,False,2009.0,1.0,1164.0,False,True,True,True,True,True,True,False
95074,I-95,South,39.058691,-76.926112,38.07671925091821,outside,False,False,2009.0,1.0,94.0,False,True,True,True,True,True,True,False
95076,I-495,Inner Loop,38.838335,-76.865983,50.413487075914695,outside,False,False,2055.0,0.08953771289537713,0.0,True,True,True,False,False,True,True,False
95077,I-495,Inner Loop,38.838335,-76.865983,50.413487075914695,outside,False,False,2055.0,0.4194647201946472,0.0,True,True,True,False,False,True,True,False
