outcome,excluded_donor_zone,full_20_weekday_mean_gap_treated_minus_synthetic,pre_rmspe,post_pre_rmspe_ratio
speed_mph,95191,-5.549725838314847,2.8611670217714127,2.8020779818617867
speed_mph,95270,-5.5184157452142495,2.9226526403203104,2.654012204057732
speed_mph,95271,-5.584672881976013,2.9124602907455044,2.7368896789570343
speed_mph,95335,-5.239759201926647,3.053254926496197,2.5290777994465663
speed_mph,95410,-5.574149249230324,2.924008616166378,2.774200087460959
speed_mph,95411,-5.373241281504575,2.852738544181032,2.753299044870442
speed_mph,141348,-5.369136046623686,3.1269716906158602,2.6081605545103046
mean_zone_log1p_volume,95040,0.01294064734986413,0.2269497301357792,1.029270729791161
mean_zone_log1p_volume,95110,0.04876377328377267,0.2470875239327062,1.1561305177800543
mean_zone_log1p_volume,95111,-0.02785671574103391,0.23955781721365507,1.0315500567053169
mean_zone_log1p_volume,95191,0.128415373421256,0.22752115964239744,1.2053040687841614
mean_zone_log1p_volume,95270,0.08102735017713132,0.22594226372072534,1.0907223489348086
mean_zone_log1p_volume,95271,0.10410643369852347,0.22754241982039122,1.1582709222560212
mean_zone_log1p_volume,95335,0.08017477039798439,0.2259412779271909,1.0877401176557397
mean_zone_log1p_volume,95410,0.08011375712012889,0.22594127697976543,1.087621839874204
mean_zone_log1p_volume,95411,0.08012271389626896,0.2259412770487217,1.0876459994105994
mean_zone_log1p_volume,141348,0.10079982299467487,0.23135409169484977,1.1098243483590025
