scenario,metric,mean_delta_vs_baseline,p02_5_delta,p97_5_delta,percent_change_vs_baseline,n_paired_seeds
peak_retimed,completed_trips,0.0,0.0,0.0,0.0,5
peak_retimed,mean_travel_time_s,-1.1714980882864068,-1.3145637817170623,-1.0559610705596014,-1.2169064205317186,5
peak_retimed,mean_delay_s,-1.174341327771986,-1.3173496697949267,-1.057422314911367,-5.612718968936133,5
peak_retimed,mean_stopped_delay_s,-0.5350017379214457,-0.6565172054223153,-0.4627389641988174,-4.721848981820633,5
peak_retimed,mean_depart_delay_s,0.0,0.0,0.0,0.0,5
peak_retimed,vehicle_km,0.0,0.0,0.0,0.0,5
peak_retimed,total_co2_g,-13017.277062585204,-14115.078005600604,-11606.61214015904,-1.9580514371224391,5
peak_retimed,total_nox_g,-6.093900797200007,-6.659596693799989,-5.452450694800012,-2.3873375875235845,5
peak_retimed,total_fuel_g,-4152.016076743591,-4502.1783462818685,-3702.0702124151053,-1.958071689781084,5
peak_retimed,mean_queue_proxy_veh,-0.054099999999999995,-0.06517666666666669,-0.04714333333333327,-4.979260750049086,5
peak_retimed,max_queue_proxy_veh,-2.0,-2.0,-2.0,-25.0,5
