scenario,seed,vehicle_id,duration_s,time_loss_s,waiting_time_s,depart_delay_s,route_length_m,co2_mg,nox_mg,fuel_mg
baseline,1,east_to_west_2.0,82.0,3.98,0.0,0.0,994.9,180415.831878,64.923812,57544.804036
baseline,1,west_to_east_3.1,76.0,3.51,0.0,0.67,994.9,164782.984159,58.338125,52558.486843
baseline,1,west_to_east_3.0,86.0,4.58,0.0,0.0,994.9,177180.725953,65.245832,56512.940327
baseline,1,east_to_west_2.1,82.0,4.31,0.0,0.5,994.9,172397.745589,61.859306,54987.397743
baseline,1,east_to_west_2.2,76.0,4.19,0.0,0.0,994.9,178205.699583,63.010104,56839.782521
baseline,1,east_to_west_2.3,78.0,4.01,0.0,0.5,994.9,164696.394651,58.516859,52530.932953
baseline,1,west_to_east_3.3,76.0,4.24,0.0,0.0,994.9,172092.588327,60.135305,54890.02316
baseline,1,north_to_south_0.0,110.0,38.28,31.0,0.0,994.9,282155.509868,111.231318,89996.689854
baseline,1,north_to_south_0.2,103.0,31.04,23.0,0.53,994.9,263762.097346,103.833228,84129.536238
baseline,1,south_to_north_1.1,105.0,31.47,22.0,0.23,994.9,255370.719866,100.493165,81453.109684
baseline,1,south_to_north_1.0,113.0,36.86,28.0,0.0,994.9,276087.727401,108.910278,88061.373084
baseline,1,south_to_north_1.2,101.0,28.83,17.0,0.47,994.9,257772.305363,100.946435,82218.831432
baseline,1,north_to_south_0.4,100.0,24.61,14.0,0.06,994.9,242409.612947,93.316463,77318.853331
baseline,1,north_to_south_0.5,97.0,25.02,13.0,0.33,994.9,250839.757433,96.627152,80007.512629
baseline,1,south_to_north_1.3,95.0,17.99,8.0,0.7,994.9,222566.342285,84.459405,70989.469589
baseline,1,north_to_south_0.1,114.0,31.86,23.0,0.27,994.9,264778.884059,103.059878,84454.312011
baseline,1,north_to_south_0.7,91.0,18.99,7.0,0.86,994.9,228708.215642,89.197661,72948.006598
baseline,1,south_to_north_1.4,90.0,11.63,1.0,0.94,994.9,210619.076378,80.244682,67178.394035
baseline,1,south_to_north_1.5,84.0,11.75,0.0,0.17,994.9,212019.438727,80.081363,67624.738484
baseline,1,south_to_north_1.6,78.0,6.38,0.0,0.4,994.9,205115.806401,77.154902,65422.616105
baseline,1,north_to_south_0.9,86.0,13.88,1.0,0.39,994.9,226240.421551,87.741787,72160.640561
baseline,1,north_to_south_0.3,109.0,25.17,16.0,0.8,994.9,251893.726702,96.710121,80344.243066
baseline,1,north_to_south_0.11,80.0,7.61,0.0,0.93,994.9,204819.524332,76.823055,65328.168441
baseline,1,north_to_south_0.6,100.0,27.55,12.0,0.6,994.9,257751.423397,100.523163,82211.980029
baseline,1,north_to_south_0.12,78.0,6.21,0.0,0.19,994.9,205706.619222,77.015075,65611.084378
baseline,1,north_to_south_0.8,95.0,15.99,2.0,0.13,994.9,228341.354679,89.350838,72830.940577
baseline,1,north_to_south_0.10,87.0,14.95,0.0,0.66,994.9,223208.578157,85.012659,71193.657665
